"on 13th and or 14th day of January 1958, they committed theft of fish by fishing in a tank called Nutan pukur in Kutalghosh mouza P.S. Mongolkote which was in the possession of the complainant Abanidhar Roy, the Respondent before us. Nutan pukur is a tank which with its banks and wet and dry portions measures about 7.21 acres. The water covers about 3/4 of the area. In the Parcha of Mouza Kotalghosh, the two appellants with three others are shown as tenants with their interest described as ""settled raiyot Mukurari"" and the sixteen annas superior interest is described as belonging to Banbehari Dutta and others.",390
"According to prosecution, accused 1 and 2 committed theft of gold ornaments by snatching in furtherance of a common intention and it was received by petitioner (third accused) knowing that it is stolen.",390
"The briefly stated prosecution story is that on the intervening night of 10.09.2007 & 11.09.2007 in between 12.30 am to 5.00 am, a theft had taken place at Sanatan Dharam Mandir, Bhera Enclave, Paschim Vihar. Eight chattra, five mukut, one chand silver, one gold nath, various articles of silver coated gold polish, cash from gullack and mobile phone of two pandits were found to have been stolen. Information was given to the police. FIR was lodged and Investigation was carried out. During investigation, the accused Santok Singh was arrested on the basis of secret information",390
"Sole accused in this case was sent up for trial with the case of the prosecution that on 21/7/06 in the midnight at about 2 am he along with his associates in furtherance of common intention committed criminal trespass in the house no. C-24, Jeevan Park, UTTAM NAGAR, Delhi of the complainant after sunset and before sunrise and having made preparation to conceal presence with intention to commit theft from inside the dwelling house. They also committed theft of Rs. 9200/- belonging to complainant Rajesh Wadhwa. The accused was apprehended red handed from inside the house and from his possession one knife was recovered and he had made preparation to restrain the occupant in case the theft is resisted. While taking away the stolen property the accused also caused injuries on the complainant when the complainant apprehended him. The associate of the accused fled away from the spot and took away Rs.9200/- and only the accused could be apprehended",390
"The case of prosecution as unfolded by report U/s 173 Cr. PC is that on 08.8.2006 at about 5:45pm at Main Madanpur Mor, near Pooja Farm, Delhi within the jurisdiction of PS Kanjhawala accused Manish @ Monu, Narender and Sunil @ Sonu in furtherance of their common intention committed robbery of one motorcycle bearing registration No. DL 8S C 8629 make Hero Honda Passion from the possession of complainant Iqbal Singh. Matter was reported to police, accused persons were arrested and upon completion of investigation challan was prepared and filed in court for trial",390
the Driver of the deceased Chandrika Rai namely Ramesh Yadav on non fulfilling his demand of money had murdered the entire family of such Chandrika Rai. He had also robbed the house and stolen the ATM card and other articles and by using such ATM card had withdrawn Rs.3000/- from the ATM of Union Bank of India.,390
"the accused Nos.2 and 3 made entry in the house of P.W.1 Manibai and wrongfully restrained her in the house by tying her hands, legs and mouth and thus her movements were restricted and she was also restrained from raising alarm. The accused persons MP 4 APEAL595_08 having wrongfully restrained P.W.1 Manibai searched out key of the cupboards, opened them and took some ornaments and cash.",390
"the Malwa Express Train from Kosikalan, Mathura (UP) for Delhi and he was mistakenly sitting in the III Tier coach of the train. It is further alleged that three TT boarded the train at Faridabad Railway Station and asked the passengers to show the tickets. It is further alleged that the complainant showed the monthly season ticket i.e. MST to TT on which the TT imposed fine of Rs. 124/- upon him whereas they had imposed a fine of Rs. 62/- only on other co-passengers who were similarly placed. It is further alleged that when the complainant requested the TT to reduce his fine, he was verbally abused and was also physically beaten up. It is further alleged that thereafter he was taken to New Delhi Railway Station where he was robbed of his money i.e. Rs. 2400/-, HMT watch as well as MST I Card.",390
"One woman and two young boys were committing theft inside the shop and one young boy armed with a country made pistol was standing as a guard outside the shop. On seeing people coming towards the shop, the said woman and three boys started running away and on following them, one of the boys had fired from the country made pistol on Parmar Harpal Singh 2013.09.17 11:20 I attest to the accuracy and integrity of this document Chandigarh Cr. Appeal Nos.S-980-SB of 2001 etc. [4] them but they had narrow escape from the fire shot. The woman was overpowered, whereas three young boys succeeded in running away.",390
"Accused nos.1 to 3 committed house trespass in the night by entering into the Crl.Appeal Nos.2616/2009, 37/2010 & 898/2010 house of PW1 on 23.06.2006 at 2 a.m. by breaking open the door. They also committed robbery.",390
"the complainant was busy doing some work in the backyard of her house, the present applicant-accused came there and abused her. When she told him to restrain himself from abusing her, he immediately got infuriated and caught hold of her by her hair and snatched her gold ear rings and ran away. She was all alone at that time.",390
"The newly constructed house warming ceremony of the complainant/CW-1 was scheduled on 22.04.2015. To meet the expenses of the said function, on 13.04.2015, between 1:30 p.m. to 1:45 p.m., CW-1 had withdrawn Rs.2,00,000/- from SBI Bank, RPC Layout Branch; kept the said cash inside his bag and was proceeding towards Chandra Layout by walk.",390
